surgery age temperature pulse respiratory_rate temperature_of_extremities peripheral_pulse pain peristalsis abdominal_distension packed_cell_volume total_protein outcome surgical_lesion
0 adult 38.5 66 28 cool reduced continuous absent severe 45 8.4 died 0
0 adult 38.3 40 24 normal normal mild hypomotile none 33 6.7 lived 0
1 young 39.1 164 84 cold normal depressed absent severe 48 7.2 died 1
1 adult 37.9 48 16 normal normal mild hypomotile moderate 37 7 lived 1
0 adult 38.6 80 36 cool absent severe absent severe 38 6.2 euthanized 1
1 adult 38.1 66 12 cool reduced mild hypomotile none 44 6 lived 1
0 adult 39.1 72 52 warm normal depressed hypermotile slight 50 7.8 lived 1
1 adult 37.2 42 12 warm normal mild hypomotile moderate 42 7 lived 0
0 young 38 92 28 normal normal alert hypomotile slight 37 6.1 died 0
1 adult 38.2 76 28 cool normal mild absent none 46 81 lived 1
1 adult 37.6 96 48 cool normal continuous hypomotile moderate 45 6.8 died 1
1 young 38.8 128 36 cool reduced severe absent moderate 53 7.8 died 0
1 adult 37.6 64 21 normal normal depressed hypomotile none 40 7 lived 1
0 adult 39.4 110 35 cold reduced depressed hypomotile moderate 55 8.7 lived 0
1 adult 39.9 72 60 normal normal continuous absent severe 46 6.1 lived 1
0 adult 38.4 48 16 normal normal alert hypomotile none 49 6.8 lived 0
1 adult 38.6 42 34 warm normal depressed hypomotile none 48 7.2 lived 1
1 adult 38.1 60 12 cool reduced mild absent moderate 51 65 lived 1
1 adult 38.3 72 30 cold reduced mild hypomotile moderate 43 7 lived 1
1 adult 37.8 48 12 cool normal mild hypomotile slight 37 5.5 lived 0
0 adult 37.7 48 31 warm normal alert hypermotile none 45 76 lived 0
0 adult 37.7 96 30 cool reduced continuous absent severe 66 7.5 died 1
0 adult 37.2 108 12 cool reduced depressed absent slight 52 8.2 euthanized 1
1 adult 37.2 60 47 warm normal mild hypomotile moderate 43 6.6 lived 1
1 adult 38.2 64 28 normal normal mild hypermotile none 49 8.6 lived 1
